GENDER,MARITAL_STATUS,CITY,HAVE_CHILDREN,AGE_GROUP,CLUSTERS,CHURNED,SALES
Male,Married,New York City,No,Middle-Aged Adults,3,0,2175.25
Female,Married,San Mateo,Yes,Middle-Aged Adults,2,0,1319.25
Female,Married,Boston,Yes,Middle-Aged Adults,2,0,2547.75
Female,Married,San Mateo,Yes,Adults,2,0,1875.25
Female,Married,San Mateo,Yes,Adults,2,1,1065.0
Female,Married,San Mateo,Yes,Adults,2,1,1980.0
Female,Married,San Mateo,Yes,Adults,2,1,1088.0
Male,Divorced/Seperated,New York City,Yes,Adults,0,0,2325.5
Female,Single,Denver,No,Adults,1,1,2008.25
Undisclosed,Single,Boston,No,Middle-Aged Adults,3,1,1839.75
Male,Married,New York City,Yes,Middle-Aged Adults,0,1,1844.75
Female,Single,New York City,Yes,Seniors,1,0,1963.5
Female,Married,San Mateo,Yes,Seniors,2,0,2092.0
Male,Married,Seattle,Yes,Adults,0,0,2123.5
Undisclosed,Single,San Mateo,No,Adults,1,0,1232.0
Undisclosed,Undisclosed,New York City,Undisclosed,Adults,1,0,2493.0
Female,Single,San Mateo,No,Seniors,1,0,1393.0
Female,Single,San Mateo,No,Adults,1,1,1299.0
Male,Single,Seattle,No,Adults,3,0,1822.0
Male,Single,Seattle,No,Adults,3,0,2132.25
Undisclosed,Married,San Mateo,Yes,Middle-Aged Adults,2,0,1872.25
Male,Married,San Mateo,Yes,Adults,0,0,1377.0
Male,Married,Seattle,Yes,Adults,0,1,1770.75
Female,Married,San Mateo,No,Middle-Aged Adults,2,0,1426.75
Female,Single,Boston,No,Middle-Aged Adults,1,0,1554.5
Female,Married,Boston,Yes,Adults,0,0,1663.25
Female,Married,Denver,Yes,Middle-Aged Adults,2,0,2530.25
Female,Undisclosed,San Mateo,Undisclosed,Adults,1,0,1270.5
Male,Single,Denver,No,Seniors,3,0,2447.25
Male,Single,Boston,No,Middle-Aged Adults,3,1,2122.75
Undisclosed,Married,Seattle,Yes,Seniors,0,0,2862.0
Male,Undisclosed,Seattle,Undisclosed,Adults,0,0,2137.75
Female,Single,Seattle,No,Adults,1,0,2039.75
Male,Married,Denver,Yes,Adults,0,0,2531.0
Male,Single,Boston,No,Middle-Aged Adults,3,0,2670.0
Female,Married,New York City,Yes,Adults,0,0,2122.75
Male,Undisclosed,Seattle,Undisclosed,Middle-Aged Adults,3,0,2001.75
Male,Married,Denver,Yes,Adults,0,0,3182.0
Male,Single,San Mateo,No,Adults,1,0,1055.5
Female,Single,Seattle,Yes,Middle-Aged Adults,2,0,2607.75
Male,Married,Seattle,Yes,Middle-Aged Adults,0,0,2168.75
Male,Married,New York City,Yes,Middle-Aged Adults,0,1,2846.5
Male,Single,Denver,No,Middle-Aged Adults,3,0,2141.25
Female,Single,Boston,No,Adults,1,0,2639.5
Undisclosed,Undisclosed,New York City,Undisclosed,Seniors,1,0,2164.5
Male,Single,New York City,No,Seniors,1,0,2144.25
Male,Married,Seattle,Yes,Adults,0,0,2314.0
Female,Married,Seattle,Yes,Seniors,2,0,1885.0
Male,Married,Seattle,Yes,Seniors,0,1,2090.75
Male,Married,Denver,Yes,Adults,0,0,2887.75
Undisclosed,Divorced/Seperated,San Mateo,Yes,Middle-Aged Adults,2,1,1116.5
Male,Single,Denver,Yes,Middle-Aged Adults,0,0,2228.75
Female,Married,Denver,No,Adults,0,0,2202.5
Female,Divorced/Seperated,Denver,Yes,Adults,0,0,2839.25
Undisclosed,Undisclosed,Seattle,Undisclosed,Middle-Aged Adults,3,0,2611.0
Female,Married,New York City,Yes,Adults,0,0,2253.25
Undisclosed,Divorced/Seperated,San Mateo,Yes,Middle-Aged Adults,2,1,1425.0
Female,Single,Boston,No,Middle-Aged Adults,1,0,1937.75
Female,Single,San Mateo,No,Middle-Aged Adults,1,0,1797.25
Male,Single,New York City,No,Adults,1,1,1637.5
Male,Single,New York City,No,Middle-Aged Adults,3,0,1650.5
Female,Undisclosed,Denver,Undisclosed,Adults,0,0,2091.0
Female,Single,Seattle,No,Middle-Aged Adults,3,0,2241.25
Male,Single,Seattle,No,Seniors,3,1,2257.75
Female,Single,Boston,No,Middle-Aged Adults,1,0,2030.5
Female,Married,New York City,Yes,Seniors,2,1,2734.75
Female,Married,San Mateo,Yes,Seniors,2,0,1379.5
Female,Married,San Mateo,Yes,Adults,2,0,1679.0
Male,Undisclosed,Denver,Undisclosed,Adults,0,0,1946.5
Female,Single,New York City,No,Adults,1,0,2199.75
Male,Single,New York City,Yes,Adults,0,0,2202.25
Undisclosed,Married,Boston,Yes,Adults,0,1,2250.0
Male,Single,San Mateo,No,Middle-Aged Adults,3,1,1957.75
Female,Divorced/Seperated,San Mateo,Yes,Middle-Aged Adults,2,0,1303.75
Female,Single,New York City,No,Seniors,1,0,1798.0
Female,Single,San Mateo,Yes,Seniors,2,0,1918.0
Female,Married,Boston,Yes,Adults,0,1,1887.75
Male,Married,New York City,Yes,Seniors,0,1,1812.5
Female,Married,San Mateo,No,Middle-Aged Adults,2,0,1265.5
Female,Single,Seattle,No,Adults,1,0,2008.25
Female,Single,New York City,No,Seniors,1,0,1934.0
Female,Divorced/Seperated,Boston,Yes,Middle-Aged Adults,2,0,2386.5
Female,Single,Boston,No,Middle-Aged Adults,1,0,1634.25
Male,Single,Denver,No,Middle-Aged Adults,3,0,2795.75
Female,Undisclosed,San Mateo,Undisclosed,Adults,1,0,1578.0
Female,Single,New York City,No,Adults,1,0,2831.25
Undisclosed,Married,San Mateo,No,Middle-Aged Adults,2,0,1264.5
Female,Married,Denver,Yes,Middle-Aged Adults,2,1,2535.0
Female,Married,New York City,Yes,Middle-Aged Adults,2,0,2205.0
Male,Married,San Mateo,Yes,Middle-Aged Adults,2,0,1480.0
Undisclosed,Married,Seattle,Yes,Middle-Aged Adults,2,0,2471.25
Female,Single,Seattle,No,Adults,1,0,2211.75
Male,Married,Boston,Yes,Adults,0,0,2260.0
Female,Single,Seattle,No,Seniors,1,0,2467.5
Male,Married,San Mateo,Yes,Adults,0,0,1030.75
Male,Married,Seattle,Yes,Seniors,0,0,2925.5
Male,Married,Seattle,Yes,Middle-Aged Adults,0,0,2558.0
Male,Single,Seattle,No,Seniors,3,0,2467.0
Male,Married,Denver,Yes,Seniors,0,0,2559.5
Female,Married,Seattle,Yes,Middle-Aged Adults,2,0,2716.5
Male,Married,New York City,Yes,Adults,0,0,2562.5
Female,Undisclosed,San Mateo,Undisclosed,Adults,1,1,1461.5
Male,Divorced/Seperated,Seattle,Yes,Middle-Aged Adults,3,0,2425.25
Female,Single,San Mateo,Yes,Seniors,2,0,1673.0
Male,Married,Denver,Yes,Seniors,0,0,2659.0
Female,Married,Seattle,Yes,Adults,0,0,1717.5
Undisclosed,Undisclosed,New York City,Undisclosed,Adults,1,0,1779.0
Male,Married,Denver,Yes,Middle-Aged Adults,0,0,3423.75
Female,Married,New York City,Yes,Adults,0,0,2203.75
Undisclosed,Undisclosed,Boston,Undisclosed,Middle-Aged Adults,2,0,2167.25
Female,Married,San Mateo,Yes,Seniors,2,1,816.0
Undisclosed,Married,Denver,Yes,Seniors,0,0,2443.25
Male,Married,Denver,Yes,Adults,0,0,2227.5
Female,Undisclosed,San Mateo,Undisclosed,Adults,1,1,1287.5
Female,Divorced/Seperated,New York City,Yes,Adults,1,0,2321.25
Male,Single,Denver,Yes,Seniors,0,0,2746.0
Male,Single,Seattle,No,Adults,3,0,2184.25
Female,Married,Boston,Yes,Seniors,2,1,1732.5
Female,Divorced/Seperated,San Mateo,No,Adults,1,0,965.0
Male,Single,San Mateo,No,Adults,1,0,881.0
Female,Married,San Mateo,Yes,Middle-Aged Adults,2,0,993.0
Undisclosed,Single,Boston,No,Seniors,1,0,1586.5
Undisclosed,Single,Seattle,Yes,Middle-Aged Adults,3,0,2095.0
Male,Undisclosed,Seattle,Undisclosed,Middle-Aged Adults,3,1,2478.0
Female,Married,Seattle,Yes,Middle-Aged Adults,2,1,2482.0
Female,Undisclosed,Boston,Undisclosed,Middle-Aged Adults,2,0,2846.5
Male,Married,San Mateo,Yes,Adults,0,0,1438.0
Male,Married,Denver,Yes,Adults,0,1,2267.5
Female,Married,New York City,Yes,Middle-Aged Adults,2,1,2532.5
Male,Single,Denver,Yes,Seniors,0,0,2383.75
Female,Single,Boston,No,Middle-Aged Adults,1,1,2145.75
Female,Single,Denver,No,Adults,1,0,2174.0
Female,Married,San Mateo,Yes,Seniors,2,0,1294.0
Female,Divorced/Seperated,New York City,Yes,Middle-Aged Adults,2,0,2296.0
Female,Undisclosed,San Mateo,Undisclosed,Middle-Aged Adults,2,0,1605.0
Male,Single,Boston,No,Middle-Aged Adults,3,1,1914.25
Undisclosed,Undisclosed,New York City,Undisclosed,Seniors,1,1,2300.5
Undisclosed,Single,New York City,No,Adults,1,0,2271.75
Undisclosed,Married,Denver,Yes,Middle-Aged Adults,0,1,1964.75
Female,Undisclosed,San Mateo,Undisclosed,Adults,1,0,1077.5
Female,Single,Boston,No,Middle-Aged Adults,1,0,1956.0
Undisclosed,Married,Denver,Yes,Middle-Aged Adults,0,1,1949.25
Female,Single,Boston,No,Adults,1,0,2372.0
Female,Undisclosed,San Mateo,Undisclosed,Adults,1,1,1297.0
Female,Married,Boston,Yes,Adults,0,0,1622.25
Female,Married,New York City,Yes,Adults,0,1,2159.5
Male,Single,San Mateo,No,Seniors,3,0,1609.5
Female,Divorced/Seperated,San Mateo,Yes,Adults,2,0,1737.75
Female,Married,Denver,Yes,Adults,0,1,2134.5
Male,Single,Denver,No,Adults,0,0,2368.5
Undisclosed,Single,Boston,No,Seniors,1,0,2417.75
Undisclosed,Single,Boston,No,Middle-Aged Adults,3,0,2634.75
Female,Married,New York City,Yes,Seniors,2,0,1961.75
Male,Married,Seattle,Yes,Adults,0,0,2634.25
Female,Single,San Mateo,No,Seniors,1,0,1253.0
Male,Married,San Mateo,Yes,Adults,0,0,1033.0
Male,Single,Seattle,No,Adults,3,1,2744.75
Female,Married,New York City,Yes,Adults,0,0,1606.5
Male,Married,Boston,Yes,Middle-Aged Adults,0,0,1716.0
Undisclosed,Married,Seattle,Yes,Adults,0,0,2751.25
Male,Married,Denver,No,Adults,0,0,2137.0
Female,Married,Denver,Yes,Adults,0,0,2225.5
Female,Married,Seattle,Yes,Adults,0,0,2550.25
Female,Undisclosed,San Mateo,Undisclosed,Adults,1,1,1827.5
Female,Married,Boston,Yes,Adults,0,1,2205.5
Female,Single,Denver,No,Middle-Aged Adults,1,0,2778.5
Female,Married,San Mateo,Yes,Middle-Aged Adults,2,1,1190.0
Female,Single,Boston,No,Middle-Aged Adults,1,1,2079.25
Female,Divorced/Seperated,New York City,Yes,Seniors,1,1,2137.5
Female,Married,Denver,Yes,Adults,0,0,2239.5
Male,Single,San Mateo,No,Middle-Aged Adults,3,0,1775.25
Male,Undisclosed,Seattle,Undisclosed,Adults,0,0,1934.75
Female,Single,San Mateo,No,Seniors,1,0,2191.0
Male,Married,Seattle,Yes,Adults,0,0,1880.5
Male,Married,Boston,Yes,Middle-Aged Adults,0,1,2348.0
Male,Married,Denver,Yes,Seniors,0,1,2220.25
Male,Married,Boston,Yes,Middle-Aged Adults,0,1,1935.25
Male,Single,San Mateo,No,Seniors,3,0,1250.5
Male,Single,Denver,No,Adults,0,0,2255.25
Female,Undisclosed,Boston,Undisclosed,Adults,1,1,2745.75
Male,Married,New York City,Yes,Seniors,0,0,1655.25
Male,Single,Seattle,No,Seniors,3,0,2342.5
Female,Married,Boston,Yes,Adults,0,1,1492.75
Female,Divorced/Seperated,Seattle,Yes,Adults,0,1,2506.0
Female,Single,Denver,No,Adults,1,0,2710.75
Female,Married,San Mateo,Yes,Middle-Aged Adults,2,0,1353.0
Male,Married,New York City,Yes,Adults,0,0,2207.5
Male,Single,San Mateo,Yes,Adults,0,0,1372.75
Female,Single,Seattle,No,Adults,1,0,2650.75
Male,Undisclosed,Boston,Undisclosed,Adults,0,1,2289.25
Female,Married,San Mateo,No,Middle-Aged Adults,2,1,1250.5
Female,Married,San Mateo,Yes,Seniors,2,0,1368.0
Female,Divorced/Seperated,Seattle,Yes,Middle-Aged Adults,2,0,1898.0
Male,Single,Boston,No,Adults,1,0,1880.0
Undisclosed,Divorced/Seperated,Denver,No,Adults,0,1,2181.0
Female,Married,Denver,Yes,Middle-Aged Adults,2,0,2574.75
Female,Single,Seattle,No,Middle-Aged Adults,3,1,2342.25
Female,Married,New York City,Yes,Adults,0,0,3000.5
Female,Married,Seattle,Yes,Middle-Aged Adults,2,0,2197.0
Female,Married,New York City,Yes,Seniors,2,0,1975.75
Female,Married,Boston,Yes,Adults,0,1,2024.25
Female,Single,San Mateo,No,Adults,1,1,919.0
Female,Single,New York City,No,Adults,1,0,2056.25
Female,Married,New York City,Yes,Adults,0,0,2215.0
Male,Married,Denver,Yes,Adults,0,0,2257.5
Female,Married,Seattle,Yes,Middle-Aged Adults,2,0,2416.5
Undisclosed,Divorced/Seperated,Seattle,Yes,Adults,0,0,2447.0
Male,Undisclosed,Denver,Undisclosed,Adults,0,0,3250.5
Female,Single,Seattle,No,Seniors,1,0,1921.0
Female,Married,Seattle,Yes,Adults,0,0,1942.0
Male,Single,Seattle,No,Seniors,3,1,2005.25
Undisclosed,Married,Boston,Yes,Adults,0,0,2095.0
Male,Married,Boston,Yes,Adults,0,1,1756.5
Male,Single,Boston,No,Adults,1,1,1666.25
Male,Married,Boston,Yes,Middle-Aged Adults,0,0,2070.0
Male,Single,New York City,No,Adults,1,0,1623.0
Male,Single,Denver,No,Adults,0,0,2240.25
Male,Undisclosed,New York City,Undisclosed,Seniors,0,0,2026.5
Female,Undisclosed,Seattle,Undisclosed,Middle-Aged Adults,2,0,2454.5
Female,Married,Boston,Yes,Middle-Aged Adults,2,0,1704.0
Female,Married,Seattle,No,Middle-Aged Adults,2,0,2324.75
Male,Single,New York City,No,Middle-Aged Adults,3,0,2707.25
Undisclosed,Single,Seattle,No,Adults,1,0,1536.25
Female,Divorced/Seperated,New York City,Yes,Adults,1,1,1571.0
Male,Single,New York City,No,Seniors,1,0,1986.0
Male,Married,Denver,Yes,Middle-Aged Adults,0,0,2811.0
Male,Married,San Mateo,Yes,Middle-Aged Adults,2,0,817.25
Female,Married,Boston,No,Middle-Aged Adults,2,0,2173.25
Male,Married,San Mateo,No,Adults,0,1,1486.0
Male,Single,Seattle,No,Middle-Aged Adults,3,0,2741.5
Male,Married,San Mateo,No,Seniors,0,0,1442.5
Male,Married,Boston,No,Seniors,0,0,1613.25
Male,Married,Boston,Yes,Adults,0,0,2043.75
Male,Single,Boston,No,Adults,1,0,2321.5
Female,Single,Boston,Yes,Adults,1,0,1950.0
Male,Undisclosed,New York City,Undisclosed,Middle-Aged Adults,3,0,2379.0
Male,Married,Seattle,Yes,Adults,0,1,1957.0
Female,Single,Seattle,No,Adults,1,1,1892.0
Female,Single,New York City,No,Adults,1,0,1779.0
Female,Single,Denver,No,Adults,1,0,3007.0
Male,Single,Denver,No,Seniors,3,0,2797.0
Female,Undisclosed,San Mateo,Undisclosed,Middle-Aged Adults,2,1,2020.5
Male,Single,Denver,No,Adults,0,0,2667.75
Female,Married,Boston,No,Adults,1,0,2494.25
Male,Single,San Mateo,No,Middle-Aged Adults,3,0,1577.5
Female,Single,San Mateo,No,Adults,1,0,1715.5
Female,Married,Boston,Yes,Adults,0,0,1914.75
Male,Divorced/Seperated,Seattle,Yes,Seniors,0,1,1772.75
Female,Undisclosed,Boston,Undisclosed,Middle-Aged Adults,2,0,2114.5
Male,Divorced/Seperated,Boston,No,Adults,0,0,1758.75
Female,Married,Boston,Yes,Middle-Aged Adults,2,1,1378.0
Male,Single,Seattle,No,Middle-Aged Adults,3,0,2846.75
Male,Married,New York City,Yes,Middle-Aged Adults,0,0,2126.0
Female,Divorced/Seperated,Denver,No,Adults,1,1,2037.5
Male,Single,Seattle,No,Middle-Aged Adults,3,1,2104.25
Male,Divorced/Seperated,Denver,Yes,Adults,0,0,2143.0
Male,Single,San Mateo,No,Seniors,3,1,792.0
Male,Single,San Mateo,No,Adults,1,1,1240.0
Undisclosed,Married,San Mateo,Yes,Adults,0,1,2023.0
Undisclosed,Married,New York City,Yes,Seniors,0,0,2054.0
Male,Married,New York City,Yes,Middle-Aged Adults,0,0,2408.25
Female,Married,Seattle,Yes,Seniors,2,0,2461.5
Female,Divorced/Seperated,San Mateo,No,Adults,1,1,1585.0
Female,Married,Boston,Yes,Middle-Aged Adults,2,0,2680.5
Female,Single,Denver,No,Adults,1,0,1756.75
Female,Single,Seattle,No,Middle-Aged Adults,3,0,2668.0
Male,Married,Seattle,Yes,Middle-Aged Adults,0,1,2889.5
Female,Married,Boston,Yes,Seniors,2,0,2254.0
Male,Divorced/Seperated,Seattle,No,Middle-Aged Adults,3,0,2033.25
Female,Married,Denver,Yes,Middle-Aged Adults,2,1,2172.5
Male,Married,New York City,Yes,Middle-Aged Adults,0,0,2461.5
Female,Divorced/Seperated,Denver,Yes,Adults,0,0,2474.0
Male,Married,Denver,Yes,Seniors,0,0,2564.25
Female,Married,Seattle,Yes,Seniors,2,1,1792.0
Female,Single,Seattle,No,Seniors,1,0,2490.75
Female,Married,Denver,Yes,Adults,0,0,2355.25
Male,Divorced/Seperated,Seattle,Yes,Adults,0,1,1527.5
Female,Single,Denver,No,Middle-Aged Adults,1,0,2720.25
Undisclosed,Undisclosed,Seattle,Undisclosed,Middle-Aged Adults,3,1,2124.0
Male,Single,Seattle,No,Adults,3,0,2235.25
Female,Single,New York City,No,Seniors,1,0,2226.0
Male,Single,New York City,No,Adults,1,1,1790.0
Male,Single,Seattle,No,Middle-Aged Adults,3,0,2329.5
Male,Single,San Mateo,Yes,Adults,0,1,2100.5
Female,Single,Boston,No,Middle-Aged Adults,1,1,1936.75
Male,Married,Boston,Yes,Adults,0,0,1919.5
Male,Single,San Mateo,No,Adults,1,1,1234.0
Male,Married,Denver,Yes,Seniors,0,0,1916.5
Female,Married,New York City,Yes,Adults,0,0,2005.75
Female,Single,New York City,No,Middle-Aged Adults,1,0,2424.25
Male,Undisclosed,New York City,Undisclosed,Adults,0,0,2104.25
Undisclosed,Single,Denver,No,Middle-Aged Adults,3,1,1845.25
Female,Married,Seattle,Yes,Adults,0,0,1831.75
Male,Single,New York City,No,Seniors,1,0,2496.5
Female,Single,San Mateo,No,Middle-Aged Adults,1,0,1049.5
Undisclosed,Undisclosed,San Mateo,Undisclosed,Adults,0,1,1158.0
Female,Married,Seattle,Yes,Adults,0,0,2549.0
Male,Single,San Mateo,No,Adults,1,0,1456.0
Male,Married,New York City,Yes,Middle-Aged Adults,0,0,1708.75
Undisclosed,Divorced/Seperated,San Mateo,Yes,Adults,0,1,1774.75
Male,Divorced/Seperated,San Mateo,Yes,Seniors,0,0,1188.5
Female,Undisclosed,Boston,Undisclosed,Middle-Aged Adults,2,0,1831.0
Undisclosed,Single,New York City,No,Adults,1,1,2297.25
Male,Married,New York City,Yes,Adults,0,0,2237.75
Male,Single,Boston,Yes,Adults,0,0,2833.25
Male,Single,New York City,No,Adults,1,0,2801.0
Female,Single,Seattle,No,Adults,1,0,1721.25
Male,Married,Boston,Yes,Adults,0,0,2391.75
Male,Divorced/Seperated,Denver,Yes,Middle-Aged Adults,0,0,2816.5
Male,Single,Boston,No,Adults,1,0,1838.0
Female,Married,New York City,Yes,Adults,0,0,2905.5
Female,Married,Seattle,Yes,Adults,0,0,2010.5
Male,Single,New York City,No,Adults,1,0,1974.0
Undisclosed,Divorced/Seperated,San Mateo,Yes,Adults,0,0,1635.25
Female,Married,Seattle,Yes,Seniors,2,0,1656.0
Male,Single,San Mateo,Yes,Middle-Aged Adults,2,0,1782.25
Female,Undisclosed,San Mateo,Undisclosed,Middle-Aged Adults,2,1,1523.75
Male,Single,San Mateo,No,Adults,1,0,1540.0
Male,Undisclosed,Seattle,Undisclosed,Adults,0,0,2483.0
Female,Single,Boston,No,Middle-Aged Adults,1,1,1757.75
Female,Single,San Mateo,No,Seniors,1,0,1672.0
Male,Single,San Mateo,No,Seniors,3,0,1532.25
Male,Single,San Mateo,No,Adults,1,1,1675.75
Male,Divorced/Seperated,Denver,No,Seniors,0,0,1944.75
Female,Single,Denver,No,Middle-Aged Adults,1,0,2775.0
Male,Married,Denver,Yes,Middle-Aged Adults,0,0,2450.0
Male,Married,Denver,Yes,Middle-Aged Adults,0,1,2708.5
Male,Divorced/Seperated,San Mateo,Yes,Middle-Aged Adults,2,0,1299.75
Female,Single,New York City,No,Seniors,1,0,2156.5
Undisclosed,Married,Denver,Yes,Adults,0,0,2368.0
Male,Single,Seattle,No,Adults,3,0,1824.25
Male,Undisclosed,New York City,Undisclosed,Seniors,0,0,2085.25
Female,Married,San Mateo,Yes,Middle-Aged Adults,2,0,1613.5
Undisclosed,Divorced/Seperated,San Mateo,Yes,Middle-Aged Adults,2,1,1979.0
Male,Married,New York City,Yes,Seniors,0,0,1976.5
Male,Undisclosed,Boston,Undisclosed,Adults,0,0,2067.75
Female,Married,San Mateo,No,Middle-Aged Adults,2,1,1515.0
Female,Married,Seattle,Yes,Seniors,2,0,1568.5
Male,Single,New York City,No,Adults,1,0,2072.75
Female,Married,New York City,Yes,Middle-Aged Adults,2,0,2231.0
Male,Divorced/Seperated,San Mateo,Yes,Seniors,0,0,2061.75
Female,Single,Denver,No,Seniors,1,0,2198.5
Male,Married,San Mateo,Yes,Adults,0,1,1693.75
Male,Married,New York City,No,Adults,0,0,2083.0
Male,Single,Denver,No,Middle-Aged Adults,3,0,2960.75
Female,Married,San Mateo,Yes,Seniors,2,0,1733.0
Female,Single,Seattle,Yes,Adults,1,0,2511.25
Male,Single,Denver,Yes,Middle-Aged Adults,0,0,2253.25
Undisclosed,Married,San Mateo,Yes,Seniors,2,1,872.0
Male,Married,Boston,Yes,Middle-Aged Adults,0,1,2498.75
Female,Single,New York City,No,Adults,1,0,2534.75
Male,Married,San Mateo,No,Seniors,0,1,1378.0
Male,Single,New York City,No,Seniors,1,1,2008.25
Female,Single,Seattle,No,Seniors,1,1,1856.0
Male,Married,Boston,Yes,Adults,0,0,1815.75
Male,Married,Boston,No,Seniors,0,0,2095.75
Male,Undisclosed,San Mateo,Undisclosed,Seniors,0,0,1247.0
Female,Undisclosed,Denver,Undisclosed,Adults,0,0,1840.75
Male,Single,Boston,No,Middle-Aged Adults,3,0,1655.25
Female,Single,Denver,No,Middle-Aged Adults,1,0,2699.25
Male,Single,San Mateo,No,Adults,1,0,1355.5
Male,Married,Denver,Yes,Seniors,0,1,2711.0
Male,Undisclosed,Boston,Undisclosed,Middle-Aged Adults,3,0,2282.5
Undisclosed,Married,Seattle,Yes,Adults,0,0,2781.0
Undisclosed,Single,Seattle,No,Adults,1,1,1907.75
Male,Married,Denver,No,Adults,0,0,2555.5
Male,Single,Denver,No,Adults,0,0,2551.5
Female,Married,Seattle,Yes,Adults,0,1,2660.5
Female,Single,Denver,No,Adults,1,0,1543.0
Undisclosed,Single,Seattle,Yes,Middle-Aged Adults,3,0,2696.25
Male,Married,New York City,Yes,Middle-Aged Adults,0,0,1888.5
Female,Single,San Mateo,No,Adults,1,0,2023.0
Female,Single,Boston,No,Adults,1,0,2072.75
Male,Married,New York City,Yes,Seniors,0,0,2696.5
Male,Single,Boston,No,Adults,1,0,1868.75
Female,Married,San Mateo,Yes,Middle-Aged Adults,2,1,1347.5
Female,Single,Boston,No,Adults,1,0,2359.75
Female,Divorced/Seperated,New York City,Yes,Middle-Aged Adults,2,0,1515.75
Female,Married,Denver,Yes,Adults,0,0,2544.25
Female,Single,Denver,No,Seniors,1,0,2174.0
Male,Divorced/Seperated,Boston,Yes,Adults,0,0,2714.0
Female,Single,Denver,Yes,Seniors,0,0,2060.5
Male,Married,Boston,Yes,Adults,0,1,1846.25
Undisclosed,Single,San Mateo,No,Middle-Aged Adults,3,1,1586.0
Female,Married,Boston,Yes,Middle-Aged Adults,2,0,2082.5
Undisclosed,Undisclosed,Denver,Undisclosed,Seniors,0,1,2025.5
Undisclosed,Undisclosed,Boston,Undisclosed,Adults,0,1,1671.75
Female,Married,New York City,No,Adults,1,1,2019.0
Male,Married,Denver,Yes,Adults,0,0,2009.25
Female,Single,San Mateo,No,Adults,1,0,1597.5
Male,Undisclosed,New York City,Undisclosed,Middle-Aged Adults,3,0,3086.0
Female,Married,Denver,Yes,Middle-Aged Adults,2,1,2150.5
Female,Married,Denver,Yes,Adults,0,0,2803.5
Male,Single,San Mateo,No,Seniors,3,0,1517.5
Female,Single,Denver,No,Adults,1,0,2234.75
Male,Single,Denver,No,Seniors,3,0,2569.25
Male,Married,San Mateo,Yes,Adults,0,1,1214.5
Male,Single,Boston,No,Adults,1,0,1825.75
Male,Married,Seattle,Yes,Adults,0,1,1749.25
Female,Single,Boston,No,Adults,1,0,1563.75
Female,Married,Boston,No,Adults,1,1,2639.5
Male,Single,Denver,No,Seniors,3,1,2177.25
Female,Married,San Mateo,Yes,Adults,2,0,1365.0
Female,Single,Denver,No,Seniors,1,0,2550.0
Female,Married,New York City,Yes,Middle-Aged Adults,2,1,2049.75
Female,Married,New York City,Yes,Middle-Aged Adults,2,0,2148.25
Male,Married,Denver,Yes,Adults,0,0,1978.75
Female,Single,Seattle,No,Adults,1,1,2159.0
Female,Single,Boston,No,Middle-Aged Adults,1,0,1734.25
Male,Single,San Mateo,No,Middle-Aged Adults,3,0,1232.0
Male,Single,San Mateo,No,Adults,1,0,1711.5
Female,Undisclosed,Boston,Undisclosed,Seniors,1,1,1541.25
Male,Married,Seattle,Yes,Middle-Aged Adults,0,0,2503.5
Female,Divorced/Seperated,Seattle,Yes,Adults,0,1,3198.5
Undisclosed,Single,Denver,No,Adults,1,1,2865.75
Male,Married,New York City,Yes,Adults,0,0,1853.0
Female,Single,Denver,No,Seniors,1,1,1945.5
Female,Married,Boston,Yes,Adults,0,0,1625.25
Female,Single,New York City,Yes,Seniors,1,1,2536.25
Female,Divorced/Seperated,Denver,Yes,Adults,0,0,2857.75
Male,Single,Seattle,No,Adults,3,0,2063.0
Male,Single,New York City,No,Seniors,1,0,1567.75
Undisclosed,Married,New York City,Yes,Adults,0,1,2249.25
Undisclosed,Single,New York City,No,Seniors,1,1,2361.75
Female,Undisclosed,Boston,Undisclosed,Middle-Aged Adults,2,0,2587.25
Male,Single,Denver,No,Adults,0,1,2486.5
Male,Married,Denver,Yes,Seniors,0,0,2599.75
Female,Single,Denver,No,Adults,1,0,2059.5
Male,Single,New York City,No,Middle-Aged Adults,3,0,1789.5
Female,Single,San Mateo,Yes,Middle-Aged Adults,2,1,1933.0
Undisclosed,Divorced/Seperated,New York City,Yes,Seniors,0,1,2123.5
Undisclosed,Married,New York City,Yes,Seniors,0,0,1856.0
Male,Married,Seattle,Yes,Seniors,0,0,1764.75
Male,Single,Boston,No,Adults,1,1,2159.0
Male,Married,Seattle,Yes,Seniors,0,0,1966.5
Male,Married,San Mateo,Yes,Adults,0,0,1607.0
Female,Single,Denver,No,Middle-Aged Adults,1,0,2140.5
Male,Married,New York City,No,Seniors,0,0,2431.5
Male,Undisclosed,San Mateo,Undisclosed,Middle-Aged Adults,2,1,1230.0
Undisclosed,Single,New York City,No,Middle-Aged Adults,1,0,2525.0
Undisclosed,Single,Denver,No,Middle-Aged Adults,3,0,2980.5
Undisclosed,Divorced/Seperated,Seattle,Yes,Seniors,0,0,2092.0
Male,Married,San Mateo,Yes,Middle-Aged Adults,2,1,1175.5
Male,Divorced/Seperated,Boston,Yes,Adults,0,1,1943.25
Male,Single,Seattle,No,Middle-Aged Adults,3,0,2351.25
Female,Single,Seattle,No,Middle-Aged Adults,3,1,1749.75
Female,Divorced/Seperated,San Mateo,Yes,Middle-Aged Adults,2,1,943.5
